,smiles,Anti_Aging_Prob,AIC_Prob1,CS_Prob1,DNS_Prob1,EA_Prob1,GI_Prob1,LP_Prob1,MD_Prob1,SCE_Prob1,TA_Prob1
0,CN(C(=N)N=C(N)N)C,0.6541684017444729,0.12954767594293434,0.15315208574824735,0.0008299929162033752,0.011435555214755633,0.0,0.8544067654797981,0.0018198799,0.6014,0.934
1,CN(CN)C(=N)N=C(N)N,0.8130173442898293,0.07954563763265836,0.15682140216541293,0.0013106169560983191,0.004044473747887261,0.0,0.8147194992937695,0.002646051,0.5934,0.904
2,C=NC(N)=NC(=N)N(C)C,0.7195865820894868,0.006001260936778344,0.11182750013333127,0.012151936727681563,0.08316017879610367,0.0,0.7783936070744195,0.009087767,0.4668,0.916
3,CN(C=N)C(=N)N=C(N)N,0.6548394582063087,0.061052693889807,0.11173041769425755,0.001615316652684189,0.0040156486886172025,0.0,0.8552206302051936,0.00043347277,0.5714,0.866
4,CN(C=O)C(=N)N=C(N)N,0.6173601410424813,0.03506510372332905,0.09330513720295079,0.0002578766168397599,0.00523105526519644,0.0,0.8692393174719969,0.0009455803,0.5162,0.926
5,CCN(C)C(=N)N=C(N)N,0.6136009972512989,0.033900142948322914,0.11468936244083794,0.000272351783025114,0.0022964789486560042,0.0,0.846561512240515,0.0033641926,0.5376,0.91
6,CN(C)C(N=C(N)N)=NO,0.6004322836421014,0.0692673316092372,0.12255261245619743,0.004594874724445317,0.010478924156368669,0.0,0.7584067041742087,0.003244711,0.4276,0.974
7,CN(C)C(=N)N=C(N)NN,0.5334495537270059,0.04113190287460467,0.1674683825167057,0.0035482258923809325,0.007693980954372034,0.0,0.8997496038227772,0.016962228,0.4566,0.926
8,CN(C)C(=N)N=C(N)NO,0.5171153926444391,0.06175762835445806,0.11299461271956732,0.006006139081850952,0.005461165619586513,0.0,0.7686837412486558,0.045838676,0.4938,0.888
9,CN(C)C(=N)N=C(N)N=N,0.5095285787793628,0.010997402687769333,0.09282675974709097,0.0012572771077129904,0.01686705490809077,0.0,0.9262894279011742,0.0103257205,0.3548,0.942
10,CN(C)C(=N)N=C(N)N=O,0.5087149130459817,0.16700160713843307,0.0895745364622382,0.0019540154991040007,0.008974129711922107,0.0,0.8247688700141776,0.29694304,0.3588,0.876
11,CN(CO)C(=N)N=C(N)N,0.5,0.024944252415562092,0.1274842519421898,0.0019347296886850496,0.0031935229431100318,0.0,0.8807322995952623,0.001068551,0.5974,0.906
12,CN(C)C(N=C(N)N)=NN,0.4929363322762939,0.08578042031167783,0.17371175833990093,0.0019828325929682803,0.007017039318585699,0.0,0.6117318716405231,0.0021185623,0.4994,0.92
13,C=CN(C)C(=N)N=C(N)N,0.49056547074990303,0.05445893108398372,0.10066103257851007,0.0001773513698098596,0.015411205126177871,0.0,0.9071001010671079,0.00077643653,0.539,0.9
14,CNC(N)=NC(=N)N(C)C,0.30656291504265276,0.007877184856141636,0.13774831951056893,0.0034962467713754446,0.016335434014928412,0.0,0.9178107831181676,0.024279164,0.461,0.958
15,CN=C(N=C(N)N)N(C)C,0.24753230827954684,0.013802155014912996,0.15732736625975088,0.00025877475851155334,0.005412853978532826,0.0,0.8383972774344209,0.004171506,0.5892,0.884
16,C=NC(N)=NC(=N)N(C)C=N,0.8946169105064858,0.012103844369287377,0.08263866824981564,0.006332667435433356,0.0123382446843536,0.0,0.8656928605167409,0.18473521,0.3036,0.908
17,CN(CN)C(=N)N=C(N)NN,0.8671179159242248,0.0400805252138257,0.1776643667815929,0.005975810525630711,0.006163253458769217,0.018518518518518517,0.8647163646739492,0.06527481,0.5238,0.926
18,CN(C(=N)N=C(N)N)C(O)O,0.8598310421045124,0.0902461658791612,0.1730955048146032,0.0005195361604729866,0.003388762465049554,0.0,0.6622566025977962,0.001509535,0.6494,0.856
19,CN(CN)C(N=C(N)N)=NN,0.8583082030856234,0.2844878826188492,0.18580244829658396,0.004848855446058,0.0043857737322765015,0.0,0.7501827497700124,0.003654561,0.4726,0.932
20,CN(CCN)C(=N)N=C(N)N,0.8319108047930851,0.06727715024596179,0.17395091668092003,0.0017958565970810757,0.005056589265878709,0.0,0.7313759466299394,0.02744507,0.5968,0.86
21,N=C(N=C(N)N)N(C=O)CO,0.8258786741364761,0.03836067381337517,0.1713100375183431,0.0018639223717609465,0.002083087105651579,0.0,0.7851461428495035,0.0014971509,0.5744,0.812
22,CCN(C=O)C(=N)N=C(N)N,0.824355121462302,0.049203100857118875,0.09743157891006636,0.0018667608592308192,0.0024563202018064285,0.0,0.8204600853116014,0.0009713507,0.4702,0.946
23,C=NC(N)=NC(=N)N(C)CN,0.8182782877274405,0.026798340923236567,0.19265188742418637,0.005670630770032497,0.005980343433528503,0.0,0.8341887619570454,0.0054578506,0.468,0.85
24,N=C(N=C(N)N)N(C=O)CN,0.8141502766341514,0.0716311688305261,0.1641243402561819,0.0004976760982819424,0.0018877459638362661,0.0,0.7390458308168946,0.0026633067,0.4662,0.838
25,CN(CN)C(=N)N=C(N)NO,0.7895300748692479,0.16829804815769445,0.14864083630434413,0.01070421366599141,0.004244816827878848,0.0,0.8261275825500205,0.009904744,0.601,0.866
26,CC(O)N(C)C(=N)N=C(N)N,0.7815960023561668,0.10576123241345012,0.12871330714832296,0.0010775104087655883,0.003650382898030785,0.0,0.7518222452724697,0.013364569,0.5474,0.93
27,CN(C=N)C(=N)N=C(N)NO,0.7777472325905815,0.07074666895132656,0.06991352975052888,0.015766790353028862,0.008854185435416264,0.0,0.8585896065410135,0.0046399427,0.4238,0.84
28,CN(CN=N)C(=N)N=C(N)N,0.7659613550655474,0.015937106594654783,0.24338347561660828,0.0005517389454749158,0.004294134037418235,0.0,0.7752886651569746,0.004407085,0.586,0.896
29,CC(=N)N(C)C(=N)N=C(N)N,0.7637818611241262,0.08610012307653889,0.13561932156676104,0.0009080481675380134,0.004226285029405564,0.0,0.8102288194667567,0.009555391,0.534,0.912
30,CNCN(C)C(=N)N=C(N)N,0.7602080185665723,0.08592106451741177,0.15116268562376595,0.0004785123720033208,0.003799368714643304,0.0,0.7977759996340974,0.0069700796,0.5916,0.922
31,C=NC(=NC(=N)N(C)C)NO,0.7552631653143977,0.07068687816272726,0.10522646206750064,0.0007737637072462531,0.0884334503554552,0.0,0.816973222562999,0.72494936,0.2062,0.89
32,C=C(C)N(C)C(=N)N=C(N)N,0.7551009225975115,0.08407132294669695,0.11793051975176688,0.00011423476256164202,0.004864455810755612,0.0,0.6809947855890792,0.0006805663,0.4968,0.856
33,C=NC(N)=NC(=N)N(C)C=O,0.7505213998798778,0.0056734155628175055,0.09880132871709929,0.001860542475960069,0.02403457746217838,0.0,0.8991579323292982,0.017812897,0.4086,0.916
34,CN(C=N)C(=N)N=C(N)N=N,0.741492645496176,0.006870569026975066,0.10297535200411974,0.0012797969288615742,0.00837619375809718,0.0,0.9311499627184713,0.70248073,0.287,0.912
35,CN(CNN)C(=N)N=C(N)N,0.7339117427282464,0.1101580398491999,0.12066440019644842,0.0024272720366036917,0.0031226196158658944,0.0,0.9216888790075558,0.028651727,0.5786,0.912
36,CN(CN=O)C(=N)N=C(N)N,0.7322588163925375,0.07529308768838937,0.15944784222325087,0.000669175460572264,0.006185459112453598,0.0,0.7095506916750373,0.0027908206,0.5172,0.806
37,CN=C(N=C(N)N)N(C)C=O,0.7318551702547487,0.07818308109724886,0.09966018446679933,0.000678911029158134,0.0025119423094815446,0.0,0.8684972778893301,0.001120659,0.5402,0.818
38,CN(C)C(N=C(N)N=O)=NO,0.7295176736549939,0.14667689105570234,0.07725388858002341,0.012416897224730104,0.004609890634479547,0.0,0.5513485408539444,0.14293303,0.344,0.82
39,C=NNC(N)=NC(=N)N(C)C,0.7217839988874928,0.03507270327927312,0.07925977426467683,0.0015427928136169367,0.019614065949434312,0.0,0.848746139227774,0.0039396863,0.402,0.882
40,CN(CCO)C(=N)N=C(N)N,0.7027430931475073,0.018480061046504334,0.18371622088619807,0.001419651612673733,0.002491134148722228,0.0,0.7944322761629873,0.004721407,0.648,0.858
41,CN(C(=N)N=C(N)N)C(N)N,0.695976806484749,0.08968095358607678,0.17485124089237186,0.00013150186355974887,0.002825142637679603,0.0,0.7141422805138353,0.015258062,0.6238,0.928
42,C=CN(CC)C(=N)N=C(N)N,0.6920276388569455,0.09083640347422081,0.08781107498364617,0.0002467920806092653,0.003598052334422639,0.0,0.7568985303456444,0.0016796651,0.349,0.892
43,CN(CN)C(=N)N=C(N)N=O,0.6872619106685001,0.037535874406018556,0.13502251086505368,0.004438160657399828,0.007534066321583614,0.0,0.8086597922100083,0.025467662,0.4742,0.852
44,C=CN=C(N=C(N)N)N(C)C,0.6816549366253346,0.16956381697418577,0.12664174110318283,0.0010086155887779683,0.004871567691751408,0.0,0.7592570873400055,0.0007330805,0.5248,0.846
45,C=C(N)N(C)C(=N)N=C(N)N,0.6800311001741295,0.05235384073783053,0.13816482450920983,0.00016043046340963617,0.007314581555860069,0.0,0.8546071239518896,0.001079577,0.4836,0.894
46,C=NC(N=N)=NC(=N)N(C)C,0.6730147545758329,0.0015092070098565843,0.18594006999820126,0.0012901127556611879,0.05287107897302338,0.0,0.9377354715017843,0.035741165,0.2774,0.778
